input_id	dealiased_id	standard_id	short_id
doi:10.1038/s41588-023-01399-7	doi:10.1038/s41588-023-01399-7	doi:10.1038/s41588-023-01399-7	QCBzJldP
doi:10.1126/sciadv.adg6218	doi:10.1126/sciadv.adg6218	doi:10.1126/sciadv.adg6218	khD7RJrY
doi:10.1016/j.celrep.2022.111883	doi:10.1016/j.celrep.2022.111883	doi:10.1016/j.celrep.2022.111883	ZkX23fLJ
doi:10.1038/s41467-024-49781-1	doi:10.1038/s41467-024-49781-1	doi:10.1038/s41467-024-49781-1	awlLhrty
doi:10.1002/PD.4957	doi:10.1002/PD.4957	doi:10.1002/pd.4957	163P4wZ3V
doi:10.1016/j.numecd.2020.05.012	doi:10.1016/j.numecd.2020.05.012	doi:10.1016/j.numecd.2020.05.012	jvHRpXBF
doi:10.1038/s41572-019-0143-7	doi:10.1038/s41572-019-0143-7	doi:10.1038/s41572-019-0143-7	lnuHgANf
doi:10.1101/gr.228411.117	doi:10.1101/gr.228411.117	doi:10.1101/gr.228411.117	L3rcmypq
doi:10.1186/s12915-023-01700-4	doi:10.1186/s12915-023-01700-4	doi:10.1186/s12915-023-01700-4	E7R141uP
Mary	Mary	Mary	AJKZgx1k
doi:10.1002/gepi.70010	doi:10.1002/gepi.70010	doi:10.1002/gepi.70010	11aafyDIp
doi:10.1038/s41587-021-00861-3	doi:10.1038/s41587-021-00861-3	doi:10.1038/s41587-021-00861-3	14JixP88o
doi:10.1093/gigascience/giab008	doi:10.1093/gigascience/giab008	doi:10.1093/gigascience/giab008	eyOvxHVn
doi:10.12688/f1000research.29032.2	doi:10.12688/f1000research.29032.2	doi:10.12688/f1000research.29032.2	1Anhy7wy0
doi:10.1186/s13059-014-0550-8	doi:10.1186/s13059-014-0550-8	doi:10.1186/s13059-014-0550-8	w9AOzBMw
doi:10.1111/j.2517-6161.1995.tb02031.x	doi:10.1111/j.2517-6161.1995.tb02031.x	doi:10.1111/j.2517-6161.1995.tb02031.x	UeFCwwR7
doi:10.1038/s41586-026-10577-6	doi:10.1038/s41586-026-10577-6	doi:10.1038/s41586-026-10577-6	zJ5PSzdc
doi:10.1126/science.abf3041	doi:10.1126/science.abf3041	doi:10.1126/science.abf3041	VKP3giTB
